timestamp,id,goal,outcome,sec,steps,blocked_steps,replans,min_front
2025-08-23 18:06:32,cb5846,Street Parade,timeout,120.92,5079,438,14,0.582
2025-08-23 18:16:46,cb5846,Street Parade,success,163.18,6938,438,17,0.582
2025-08-23 18:19:06,cb5846,Live Stage,success,116.33,4842,172,8,0.603
2025-08-23 18:23:06,14b582,Haunted Mine Train,success,86.71,3599,0,5,1.091
2025-08-23 18:25:22,14b582,Spinning Vortex,success,134.1,5869,546,7,0.625
2025-08-23 18:39:37,cb5846,Street Parade,success,194.46,8520,0,2,4.082
2025-08-23 18:50:47,cb5846,Street Parade,success,131.02,5448,0,2,3.975
2025-08-23 18:54:21,cb5846,Street Parade,success,87.55,3678,0,2,4.027
2025-08-23 18:58:45,cb5846,Street Parade,success,83.53,3632,0,3,3.333
2025-08-23 19:01:10,cb5846,Street Parade,success,86.81,3513,0,3,3.327
2025-08-23 19:03:59,cb5846,Street Parade,success,66.67,2761,0,3,4.541
2025-08-23 19:05:52,cb5846,Live Stage,success,107.41,4429,0,8,1.23
2025-08-23 19:06:04,cb5846,Live Stage,success,0.72,0,0,0,9999
2025-08-23 19:06:58,cb5846,(break) lazy_river,success,47.86,2059,0,2,2.456
2025-08-23 19:09:52,cb5846,Quiet Lake View,success,164.99,7279,0,3,1.079
2025-08-23 19:12:16,cb5846,Bumper Cars,success,130.17,5640,0,7,2.477
2025-08-23 19:14:33,cb5846,Freefall Cannon,success,127.17,5586,0,7,2.502
2025-08-23 19:17:11,cb5846,Toy World,success,150.68,6203,0,6,1.791
2025-08-24 05:43:49,cb5846,Street Parade,success,130.91,3665,0,13,1.469
2025-08-24 06:37:40,cb5846,Street Parade,timeout,300.88,3835,0,3,1.219
2025-08-24 06:41:32,cb5846,Live Stage,success,176.23,2285,99,2,0.251
2025-08-24 07:07:22,cb5846,Street Parade,success,214.64,2720,0,0,2.331
2025-08-24 07:28:39,cb5846,Street Parade,success,157.87,2001,31,0,0.326
2025-08-24 08:28:26,cb5846,Street Parade,timeout,301.07,2554,0,82,1.042
2025-08-24 08:40:35,cb5846,Street Parade,success,128.31,3527,0,54,1.703
2025-08-24 08:47:41,cb5846,Street Parade,success,129.26,1226,0,0,2.787
2025-08-24 08:53:43,cb5846,Street Parade,success,287.08,2632,0,38,1.267
2025-08-24 11:44:26,cb5846,Street Parade,success,103.94,1837,0,4,3.693
2025-08-24 12:11:48,cb5846,Street Parade,timeout,301.08,2739,0,65,0.264
2025-08-24 12:16:35,cb5846,Street Parade,success,252.33,2299,0,45,0.745
2025-08-24 13:19:57,cb5846,Street Parade,success,218.29,1894,0,15,2.599
2025-08-24 13:35:04,cb5846,Street Parade,timeout,300.95,2572,0,42,2.06
2025-08-24 14:59:34,cb5846,Street Parade,timeout,300.82,2506,0,2,1.73
2025-08-24 17:22:07,cb5846,Street Parade,success,1227.76,11522,68,1,0.281
2025-08-24 17:51:46,cb5846,Street Parade,success,1694.02,14500,56,1,0.25
2025-08-25 06:38:26,cb5846,Street Parade,success,1368.87,11941,29,1,0.349
