episode,training_round,outcome,steps,reward
1,14,timeout,0,
2,14,timeout,3000,-8200.135971
3,14,timeout,3000,-1763.158843
4,14,timeout,3000,-7408.587114
5,14,timeout,3000,-8211.076331
6,14,timeout,3000,-3736.156117
7,14,timeout,3000,-7109.03403
8,14,timeout,3000,-1781.246396
9,14,timeout,3000,-9744.584977
10,14,timeout,3000,0.721163
11,14,timeout,3000,-510.55386
12,14,timeout,3000,-8998.098052
13,14,timeout,3000,-3899.95352
14,14,timeout,3000,-4038.900485
15,14,timeout,3000,-8588.228082
16,14,timeout,3000,-4115.662991
17,14,timeout,3000,-3778.934454
18,14,timeout,3000,-1688.634898
19,14,timeout,3000,-3615.742789
20,14,timeout,3000,-333.083286
21,14,timeout,3000,-9208.197143
22,14,timeout,3000,-916.171899
23,14,timeout,3000,-4595.028601
24,14,timeout,3000,-1849.983066
25,14,goal,3000,-954.420492
26,14,timeout,327,-559.817882
27,14,timeout,3000,-7685.024474
28,14,timeout,3000,-822.90944
29,14,timeout,3000,-9759.260877
30,14,timeout,3000,-118.957277
31,14,timeout,3000,-7748.114055
32,14,timeout,3000,-5474.135029
33,14,timeout,3000,-896.605558
34,14,timeout,3000,-7307.33944
35,14,timeout,3000,-90.346165
36,14,timeout,3000,-8094.03458
37,14,timeout,3000,-225.995305
38,14,timeout,3000,-5239.662145
39,14,timeout,3000,-6935.956127
40,14,timeout,3000,-389.427858
41,14,timeout,3000,-4239.086011
42,14,goal,3000,-221.018077
43,14,timeout,233,-132.008533
44,14,timeout,3000,-1084.815801
45,14,timeout,3000,-363.611175
46,14,timeout,3000,-331.181279
47,14,timeout,3000,-2323.58244
48,14,timeout,3000,-9546.605706
49,14,timeout,3000,-4160.494395
50,14,timeout,3000,-1732.021316
51,14,goal,3000,-1027.324907
52,14,timeout,408,-887.141288
53,14,timeout,3000,2625.263848
54,14,timeout,3000,-3499.617483
55,14,timeout,3000,-2628.024008
56,14,timeout,3000,-4876.732253
57,14,timeout,3000,-1756.204838
58,14,timeout,3000,-1136.333968
59,14,timeout,3000,-919.629276
60,14,timeout,3000,-2684.511694
61,14,timeout,3000,-266.59606
62,14,timeout,3000,-241.392367
63,14,timeout,3000,-1684.122663
64,14,timeout,3000,-1467.640209
65,14,goal,3000,-6035.102382
66,14,timeout,762,1323.044515
67,14,timeout,3000,-8432.541792
68,14,timeout,3000,-10739.231707
69,14,timeout,3000,-372.495152
70,14,timeout,3000,-35.304607
71,14,timeout,3000,-5703.875498
72,14,timeout,3000,-9419.07552
73,14,goal,3000,-1734.117157
74,14,timeout,1,10.0
75,14,timeout,3000,-849.784886
76,14,timeout,3000,-981.581085
77,14,timeout,3000,-791.714678
78,14,crash,3000,-799.799104
79,14,timeout,2694,-9679.210092
80,14,timeout,3000,-1771.712557
81,14,timeout,3000,-1372.950138
82,14,timeout,3000,-3512.300195
83,14,timeout,3000,-2972.009082
84,14,timeout,3000,-9640.603829
85,14,timeout,3000,-6915.469047
86,14,timeout,3000,-447.266147
87,14,timeout,3000,-5362.899123
88,14,timeout,3000,-2821.32888
89,14,timeout,3000,-3472.431688
90,14,timeout,3000,-1304.335408
91,14,timeout,3000,-487.265433
92,14,timeout,3000,-7781.048384
93,14,timeout,3000,-401.032955
94,14,timeout,3000,-285.467074
95,14,timeout,3000,-1314.713567
96,14,timeout,3000,-633.278873
97,14,timeout,3000,-4219.770574
98,14,timeout,3000,-3245.103963
99,14,timeout,3000,-1696.433089
100,14,timeout,3000,100.703475
101,14,timeout,3000,-230.413669
102,14,timeout,3000,-324.486217
103,14,timeout,3000,-1116.164217
104,14,timeout,3000,-899.074799
105,14,timeout,3000,-397.754282
106,14,timeout,3000,-6254.508231
107,14,timeout,3000,-2486.441827
108,14,timeout,3000,-4690.407979
109,14,timeout,3000,-1537.868847
110,14,timeout,3000,-1532.537662
111,14,timeout,3000,-293.847625
112,14,timeout,3000,-843.808164
113,14,timeout,3000,-166.563793
114,14,timeout,3000,68.915984
115,14,timeout,3000,-6004.497724
116,14,timeout,3000,8.742865
117,14,timeout,3000,-7156.734156
118,14,timeout,3000,-7427.258862
119,14,timeout,3000,-153.735427
120,14,timeout,3000,-2906.048201
121,14,timeout,3000,396.738015
122,14,timeout,3000,54.842448
123,14,timeout,3000,-1142.443875
124,14,timeout,3000,-4718.105146
125,14,timeout,3000,-94.360359
126,14,timeout,3000,-50.651911
127,14,timeout,3000,-612.091834
128,14,timeout,3000,-3552.738171
129,14,timeout,3000,-146.794699
130,14,timeout,3000,-175.414968
131,14,timeout,3000,-1100.280191
132,14,timeout,3000,-731.451099
133,14,timeout,3000,-306.895432
134,14,timeout,3000,-366.406122
135,14,timeout,3000,-4376.806157
136,14,timeout,3000,-4257.606092
137,14,timeout,3000,-457.213986
138,14,timeout,3000,-146.409062
139,14,timeout,3000,-4207.317258
140,14,timeout,3000,75.759859
141,14,timeout,3000,74.174497
142,14,timeout,3000,143.529125
143,14,timeout,3000,-650.827324
144,14,timeout,3000,-401.247518
145,14,timeout,3000,-567.928212
146,14,timeout,3000,-1003.180092
147,14,timeout,3000,-83.896673
148,14,timeout,3000,-52.17084
149,14,timeout,3000,-1575.916161
150,14,timeout,3000,-844.581465
151,14,timeout,3000,-182.709807
152,14,timeout,3000,-3152.947086
153,14,goal,3000,-1629.852144
154,14,timeout,273,575.081465
155,14,goal,3000,-2217.535164
156,14,goal,131,-133.748072
157,14,timeout,311,-702.481849
158,14,timeout,3000,206.993387
159,14,timeout,3000,-1639.057371
160,14,timeout,3000,-8721.793263
161,14,timeout,3000,-1064.439011
162,14,timeout,3000,-1022.93235
163,14,goal,3000,-463.597426
164,14,timeout,435,-1197.592422
165,14,goal,3000,-1486.820585
166,14,timeout,807,-1856.498571
167,14,timeout,3000,-207.075568
168,14,timeout,3000,459.589195
169,14,timeout,3000,-7186.361388
170,14,timeout,3000,-4588.465041
171,14,timeout,3000,-3099.670301
172,14,timeout,3000,-6627.871707
173,14,timeout,3000,98.381563
174,14,goal,3000,399.260804
175,14,timeout,1,10.0
176,14,timeout,3000,174.718807
177,14,timeout,3000,-1229.683629
178,14,timeout,3000,-11544.729133
179,14,timeout,3000,-10493.518414
180,14,timeout,3000,-506.686735
181,14,timeout,3000,-1219.716974
182,14,timeout,3000,20.169014
183,14,goal,3000,-2151.781239
184,14,timeout,45,23.333128
185,14,timeout,3000,-5914.448154
186,14,timeout,3000,-176.344527
187,14,timeout,3000,-1748.296819
188,14,timeout,3000,-135.549834
189,14,timeout,3000,-1172.464486
190,14,timeout,3000,111.280999
191,14,timeout,3000,-945.769164
